id,profesion,tasa_ocupacion,nivel_educativo,fecha_registro,municipio
1,ingeniero de sistemas,85.5,prof.univ.,2024-11-15,oaxaca capital
2,profesor,78.2,Licenciatura Completa,2024-10-22,Huajuapan
3,tec. en electricidad,82.3,tecnico,2024-12-03,juarez
4,contador,88.1,prof.univ.,2024-11-27,oaxaca capital
5,mecanico,65.4,secundaria,2024-09-18,Lachixio
6,asistente administrativo,72.8,bachillerato,2024-10-09,oaxaca capital
7,diseñador grafico,80.5,lic.completa,2024-12-11,Xoxocotlan
8,enfermero,91.2,licenciatura completa,2024-11-05,Huajuapan
9,dentista,86.7,prof.univ.,2024-10-30,oaxaca capital
10,agricultor,55.3,primaria,2024-09-25,Tlacolula
11,electricista,76.9,tecnico,2024-11-14,juarez
12,abogado,83.4,prof.univ.,2024-12-02,oaxaca capital
13,nutriologo,79.8,lic.completa,2024-10-16,Etla
14,carpintero,68.2,primaria incompleta,2024-09-30,Lachixio
15,chef,81.6,tecnico,2024-11-19,oaxaca capital
16,psicólogo,84.3,prof.univ.,2024-10-12,Huajuapan
17,plomero,64.7,secundaria,2024-12-07,Xoxocotlan
18,vendedor,72.1,bachillerato,2024-09-29,oaxaca capital
19,secretaria,75.4,Bachillerato,2024-11-06,Tlacolula
20,docente investigador,87.9,prof.univ.,2024-10-21,oaxaca capital
21,economista,55.8,especialidad,2024-12-08,Crucecita
22,soldador,60.4,maestria,2024-10-05,Santa Catarina
23,ingeniero de sistemas,87.4,maestria,2024-02-16,juarez
24,mecanico,42.2,doctorado,2024-09-21,Huatulco
25,técnico en telecomunicaciones,46.9,secundaria,2024-04-01,oaxaca capital
26,economista,75.0,prof.univ.,2024-02-20,Pochutla
27,arquitecto,50.5,tecnico,2024-05-19,Tlacolula
28,consultor,67.7,especialidad,2024-03-25,Xoxocotlan
29,auditor,72.6,primaria,2024-05-15,Huatulco
30,ingeniero de sistemas,54.6,bachillerato,2024-06-27,Huajuapan
31,abogado,52.8,doctorado,2024-03-10,Salina Cruz
32,carpintero,75.4,tecnico,2024-06-24,San Pablo Etla
33,asistente administrativo,53.5,primaria,2024-04-18,Puerto Escondido
34,profesor,72.1,primaria,2024-07-16,San Juan
35,asistente administrativo,74.0,primaria,2024-11-20,Santiago
36,analista,42.1,bachillerato,2024-11-28,Huatulco
37,soldador,63.9,prof.univ.,2024-04-02,Ixtlan
38,técnico en electrónica,73.6,primaria,2024-09-22,Tututepec
39,abogado,74.5,secundaria,2024-07-15,Xoxocotlan
40,consultor,63.4,doctorado,2024-10-21,Pochutla
41,electricista,78.3,secundaria,2024-03-29,Ixtlan
42,cocinero,52.5,tecnico,2024-06-11,Tlacolula
43,maestro de obra,45.4,lic.incompleta,2024-02-26,Etla
44,coordinador,74.2,maestria,2024-08-05,Huajuapan
45,contador,77.2,bachillerato,2024-07-18,San Pablo Etla
46,ejecutivo de ventas,79.0,especialidad,2024-04-04,San Juan
47,abogado,85.0,bachillerato,2024-08-02,Salina Cruz
48,dentista,48.8,tecnico,2024-11-22,Santiago
49,ejecutivo de ventas,85.5,bachillerato,2024-02-07,Xoxocotlan
50,representante comercial,44.4,especialidad,2024-01-09,Ixtlan
51,conductor,87.5,tecnico,2024-03-17,San Pablo Etla
52,camarero,56.3,lic.incompleta,2024-07-19,Lachixio
53,maestro de obra,93.1,prof.univ.,2024-05-08,San Pablo Etla
54,asistente administrativo,73.0,primaria,2024-12-17,Santa Catarina
55,tec. en electricidad,74.1,maestria,2024-03-20,Etla
56,enfermero,89.9,lic.incompleta,2024-03-24,Tlacolula
