id,universidad,carrera,area_academica,modalidad,semestres,fecha_oferta,ciudad
1,Uabjo,ingenieria en sistemas computacionales,ingenieria,presencial,8,2024-11-15,oaxaca capital
2,Ujat,administracion de empresas,administracion,presencial,8,2024-10-22,Huajuapan
3,Uabjo,lic. en psicologia,ciencias sociales,presencial,8,2024-12-03,oaxaca capital
4,Tecnologica Del Valle,tec. en electronica,ingenieria,presencial,6,2024-11-08,Etla
5,Uabjo,lic en enfermeria,salud,presencial,8,2024-09-30,oaxaca capital
6,Ies Oaxaca,diseño grafico,artes,presencial,6,2024-10-14,Xoxocotlan
7,Ujat,lic. en educacion,educacion,presencial,8,2024-11-25,Tlacolula
8,Uabjo,contabilidad,administracion,semi presencial,8,2024-10-05,oaxaca capital
9,Tecnologica Del Valle,tec en mecanica,ingenieria,presencial,6,2024-12-01,Lachixio
10,Ies Oaxaca,lic en turismo,turismo,presencial,8,2024-09-18,oaxaca capital
11,Ujat,ingenieria agronomica,ingenieria,presencial,8,2024-11-30,juarez
12,Uabjo,lic en derecho,ciencias sociales,presencial,9,2024-10-28,oaxaca capital
13,Ujat,lic. en nutricion,salud,presencial,8,2024-11-12,Huajuapan
14,Ies Oaxaca,tec en gastronomia,artes,presencial,6,2024-09-26,Xoxocotlan
15,Uabjo,lic en economia,administracion,presencial,8,2024-12-04,oaxaca capital
16,Tecnologica Del Valle,tec en informatica,ingenieria,semi presencial,6,2024-10-31,Ixtlan
17,Ujat,lic en biologia,ciencias,presencial,8,2024-11-19,Tlacolula
18,Uabjo,lic en marketing,administracion,presencial,8,2024-09-17,oaxaca capital
19,Ies Oaxaca,lic en comunicacion,ciencias sociales,presencial,8,2024-11-06,Etla
20,Uabjo,lic en ambiental,ciencias,presencial,8,2024-10-09,oaxaca capital
21,Centro De Estudios,lic. en biologia,artes,virtual,10,2024-07-03,Huajuapan
22,Ies Oaxaca,administracion de empresas,educacion,presencial,10,2024-11-28,Tlacolula
23,Ujat,contabilidad,humanidades,presencial,8,2024-01-02,Pochutla
24,Ies Oaxaca,tec. en informatica,artes,presencial,8,2024-09-08,juarez
25,Instituto Tecnologico,administracion de empresas,salud,semi presencial,10,2024-09-09,Huajuapan
26,Instituto Superior,tec. en informatica,salud,semi presencial,6,2024-12-30,Salina Cruz
27,Ujat,ingenieria electronica,humanidades,presencial,8,2024-04-17,Ixtlan
28,Ies Oaxaca,lic en enfermeria,humanidades,virtual,8,2024-11-08,Pochutla
29,Uabjo,tec en mecanica,educacion,virtual,6,2024-12-23,oaxaca capital
30,Uabjo,lic. en psicologia,humanidades,virtual,8,2024-07-02,Salina Cruz
31,Colegio De Bachilleres,ingenieria electronica,tecnologia,semi presencial,8,2024-09-04,Salina Cruz
32,Ies Oaxaca,lic. en filosofia,ingenieria,presencial,6,2024-03-10,Xoxocotlan
33,Uabjo,lic. en comunicacion,ciencias sociales,virtual,8,2024-11-29,Lachixio
34,Uabjo,lic en enfermeria,ciencias sociales,virtual,6,2024-08-10,Pochutla
35,Uabjo,lic. en filosofia,ingenieria,virtual,8,2024-09-11,Ixtlan
36,Ies Oaxaca,lic. en educacion,humanidades,semi presencial,8,2024-01-02,Xoxocotlan
37,Centro De Estudios,ingenieria en sistemas computacionales,economia,virtual,10,2024-01-12,juarez
38,Tebacsso,lic. en comunicacion,economia,virtual,8,2024-11-26,Xoxocotlan
39,Colegio De Bachilleres,ingenieria civil,economia,presencial,8,2024-08-04,Ixtlan
40,Ujat,tec. en electronica,economia,semi presencial,8,2024-10-16,Lachixio
41,Instituto Superior,diseño grafico,ciencias sociales,virtual,8,2024-07-11,Lachixio
42,Univers. Autonoma,ingenieria en sistemas computacionales,derecho,virtual,10,2024-08-09,Etla
43,Escuela Normal,ingenieria civil,educacion,virtual,10,2024-10-20,Tlacolula
44,Ujat,administracion de empresas,educacion,semi presencial,10,2024-09-11,Etla
45,Centro De Estudios,lic. en filosofia,ingenieria,semi presencial,8,2024-01-11,Ixtlan
46,Tecnologica Del Valle,ingenieria civil,salud,virtual,10,2024-11-19,Lachixio
47,Centro De Estudios,tec. en electronica,ingenieria,virtual,10,2024-10-03,Etla
48,Instituto Tecnologico,lic. en derecho,ciencias sociales,semi presencial,6,2024-07-15,Salina Cruz
49,Univers. Autonoma,lic. en educacion,derecho,virtual,6,2024-01-24,Pochutla
50,Instituto Tecnologico,diseño grafico,tecnologia,virtual,8,2024-10-18,Huajuapan
51,Tebacsso,tec en mecanica,economia,presencial,10,2024-05-25,Huajuapan
52,Escuela Normal,lic. en filosofia,humanidades,virtual,8,2024-10-05,oaxaca capital
53,Ujat,lic. en educacion,ingenieria,presencial,8,2024-07-06,juarez
54,Tecnologica Del Valle,lic. en derecho,administracion,semi presencial,6,2024-06-26,Xoxocotlan
55,Ies Oaxaca,lic. en economia,humanidades,presencial,8,2024-10-23,Salina Cruz
56,Tebacsso,ingenieria en sistemas computacionales,salud,semi presencial,10,2024-01-13,Lachixio
57,Colegio De Bachilleres,lic. en turismo,ingenieria,presencial,6,2024-03-16,Xoxocotlan
58,Conalep,ingenieria electronica,ingenieria,semi presencial,6,2024-01-22,Ixtlan
59,Cecyte,ingenieria civil,humanidades,semi presencial,10,2024-04-25,Ixtlan
60,Centro De Estudios,lic. en filosofia,administracion,semi presencial,8,2024-11-16,Ixtlan
61,Conalep,lic. en derecho,derecho,semi presencial,8,2024-06-22,Salina Cruz
62,Ies Oaxaca,tec. en informatica,tecnologia,semi presencial,6,2024-09-20,Pochutla
63,Tecnologica Del Valle,lic. en turismo,educacion,presencial,10,2024-10-24,Huajuapan
64,Tebacsso,lic. en turismo,ingenieria,presencial,8,2024-06-11,Tlacolula
65,Ies Oaxaca,tec en mecanica,educacion,presencial,6,2024-01-04,Salina Cruz
66,Instituto Tecnologico,lic. en turismo,tecnologia,presencial,8,2024-10-24,Tlacolula
67,Tebacsso,ingenieria electronica,tecnologia,presencial,10,2024-02-26,Xoxocotlan
68,Colegio De Bachilleres,tec en mecanica,ciencias sociales,semi presencial,6,2024-08-24,Ixtlan
69,Centro De Estudios,lic. en educacion,administracion,presencial,10,2024-03-18,Ixtlan
70,Tecnologica Del Valle,lic. en derecho,tecnologia,semi presencial,10,2024-07-20,Xoxocotlan
71,Cecyte,lic. en psicologia,ciencias sociales,semi presencial,6,2024-08-13,Lachixio
72,Colegio De Bachilleres,lic. en filosofia,administracion,virtual,10,2024-10-23,Xoxocotlan
73,Instituto Tecnologico,lic. en filosofia,artes,virtual,6,2024-02-16,Ixtlan
